;I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS;;II. TUMORES [NEOPLASIAS];;"III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD";;"IV. ENFERMEDADES ENDOCRINAS; NUTRICIONALES Y METABÓLICAS";;V. TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;;VI. ENFERMEDADES DEL SISTEMA NERVIOSO;;VII. ENFERMEDADES DEL OJO Y SUS ANEXOS;;VIII. ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES;;IX. ENFERMEDADES DEL SISTEMA CIRCULATORIO;;X. ENFERMEDADES DEL SISTEMA RESPIRATORIO;;XI. ENFERMEDADES DEL SISTEMA DIGESTIVO;;XII. ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO;;XIII. ARTROPATÍAS;;XIV. ENFERMEDADES DEL SISTEMA GENITOURINARIO;;"XV. EMBARAZO; PARTO Y PUERPERIO";;XVI. CIERTAS AFECCIONES ORIGINADAS EN EL PERÍODO PERINATAL;;"XVII. MALFORMACIONES CONGÉNITAS; DEFORMIDADES Y ANOMALÍAS CROMOSÓMICAS";;"XVIII. SÍNTOMAS; SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO; NO CLASIFS. OTRA PARTE";;XX. CAUSAS EXTERNAS DE MORBILIDAD Y DE MORTALIDAD;
;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres;Hombres;Mujeres
2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
   Defunciones;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
        Agaete;0;0;8;4;0;0;2;1;2;1;1;1;0;0;0;0;9;10;7;3;0;2;0;0;0;0;0;3;.;0;0;0;0;0;0;1;1;1
        Agüimes;4;7;35;27;0;0;2;1;1;6;3;10;0;0;0;0;35;23;15;8;8;3;0;1;0;0;1;5;.;0;0;1;1;1;1;0;6;1
        Artenara;0;1;2;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;.;0;0;0;0;0;0;0;0;0
        Arucas;5;5;51;48;0;0;4;10;3;10;2;10;0;0;0;0;52;44;20;18;9;7;2;1;0;2;7;10;.;0;0;0;0;0;3;2;6;2
        Firgas;1;1;4;9;0;0;5;2;0;3;3;3;0;0;0;0;10;9;8;4;1;1;0;0;0;0;0;1;.;0;0;0;0;0;1;1;1;0
        Gáldar;4;6;31;23;0;0;3;2;2;8;4;7;0;0;1;0;37;30;11;10;2;7;0;0;0;0;8;9;.;0;1;0;0;0;3;2;8;0
        Ingenio;1;2;27;25;0;0;1;6;3;1;7;3;0;0;0;0;31;35;14;14;9;5;0;1;0;0;2;4;.;0;0;0;0;0;2;1;6;1
