,Municipio,Año,Sexo,Tipo,Defunciones
1,        Agaete,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
2,        Agüimes,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"24,72"
3,        Artenara,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
4,        Arucas,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"26,17"
5,        Firgas,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"26,22"
6,        Gáldar,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"32,59"
7,        Ingenio,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"6,24"
8,        Mogán,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"28,48"
9,        Moya,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
10,        Palmas de Gran Canaria (Las),2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"49,89"
11,        San Bartolomé de Tirajana,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"32,45"
12,        Aldea de San Nicolás (La),2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"25,77"
13,        Santa Brígida,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"32,81"
14,        Santa Lucía,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"38,00"
15,        Santa María de Guía,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"28,97"
16,        Tejeda,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"99,60"
17,        Telde,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"39,69"
18,        Teror,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"61,80"
19,        Valsequillo,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"21,12"
20,        Valleseco,2021,Hombres,I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,"0,00"
